Strain,Replicate,TechRep,Drug,LevelEvolvedTo,Time,OD_24h,OD_48h,OD_72h,Person,,,,,,,,
y106,12,A,0.12,0.12,t5,0.1429,0.3633,0.3718,Q,,,,,,,,
y106,1,B,0.12,0.12,t5,0.1515,0.4247,0.5194,Q,,,,,,,,
y106,2,B,0.12,0.12,t5,0.1024,0.1253,0.1635,Q,,,,,,,,
y106,3,B,0.12,0.12,t5,0.1024,0.1145,0.0556,Q,,,,,,,,
y106,4,B,0.12,0.12,t5,0.1061,0.2176,0.2417,Q,,,,,,,,
y106,5,B,0.12,0.12,t5,0.1536,0.2606,0.2603,Q,,,,,,,,
y106,6,B,0.12,0.12,t5,0.1033,0.2017,0.4778,Q,,,,,,,,
y106,7,B,0.12,0.12,t5,0.1276,0.3378,0.3619,Q,,,,,,,,
y106,8,B,0.12,0.12,t5,0.1109,0.2542,0.2093,Q,,,,,,,,
y106,9,B,0.12,0.12,t5,0.1265,0.2826,0.2645,Q,,,,,,,,
y106,10,B,0.12,0.12,t5,0.1948,0.3339,0.2486,Q,,,,,,,,
y106,11,B,0.12,0.12,t5,0.1036,0.1567,0.2211,Q,,,,,,,,
y106,12,B,0.12,0.12,t5,0.1051,0.244,0.2643,Q,,,,,,,,
y106,1,A,0.5,0.12,t5,0.0785,0.2367,0.4853,Q,,,,,,,,
y106,2,A,0.5,0.12,t5,0.091,0.2543,0.4782,Q,,,,,,,,
y106,3,A,0.5,0.12,t5,0.0813,0.4113,0.0563,Q,,,,,,,,
y106,4,A,0.5,0.12,t5,0.091,0.5524,0.2889,Q,,,,,,,,
y106,5,A,0.5,0.12,t5,0.1081,0.3907,0.2394,Q,,,,,,,,
y106,6,A,0.5,0.12,t5,0.0836,0.2542,0.233,Q,,,,,,,,
y106,7,A,0.5,0.12,t5,0.1285,0.5375,0.5573,Q,,,,,,,,
y106,8,A,0.5,0.12,t5,0.108,0.3015,0.2202,Q,,,,,,,,
y106,9,A,0.5,0.12,t5,0.0866,0.2794,0.2741,Q,,,,,,,,
y106,10,A,0.5,0.12,t5,0.1163,0.2814,0.2426,Q,,,,,,,,
y106,11,A,0.5,0.12,t5,0.0878,0.246,0.2291,Q,,,,,,,,
y106,12,A,0.5,0.12,t5,0.1191,0.3568,0.4364,Q,,,,,,,,
y106,1,B,0.5,0.12,t5,0.1063,0.1395,0.6707,Q,,,,,,,,
y106,2,B,0.5,0.12,t5,0.1114,0.3996,0.1421,Q,,,,,,,,
y106,3,B,0.5,0.12,t5,0.1024,0.2397,0.0544,Q,,,,,,,,
y106,4,B,0.5,0.12,t5,0.1074,0.2598,0.2496,Q,,,,,,,,
y106,5,B,0.5,0.12,t5,0.1834,0.3283,0.2384,Q,,,,,,,,
y106,6,B,0.5,0.12,t5,0.1044,0.3288,0.5694,Q,,,,,,,,
y106,7,B,0.5,0.12,t5,0.1538,0.5227,0.6227,Q,,,,,,,,
y106,8,B,0.5,0.12,t5,0.1496,0.3114,0.2293,Q,,,,,,,,
y106,9,B,0.5,0.12,t5,0.1583,0.2403,0.2845,Q,,,,,,,,
y106,10,B,0.5,0.12,t5,0.1481,0.2341,0.1828,Q,,,,,,,,
y106,11,B,0.5,0.12,t5,0.1089,0.1688,0.1555,Q,,,,,,,,
y106,12,B,0.5,0.12,t5,0.108,0.2077,0.2006,Q,,,,,,,,
y106,1,A,0.5,0.5,t5,0.236,0.1506,0.1431,M,,,,,,,,
y106,2,A,0.5,0.5,t5,0.2435,0.1604,0.155,M,,,,,,,,
y106,3,A,0.5,0.5,t5,0.2266,0.1585,0.1533,M,,,,,,,,
y106,4,A,0.5,0.5,t5,0.2168,0.1536,0.1491,M,,,,,,,,
y106,5,A,0.5,0.5,t5,0.2448,0.1595,0.1618,M,,,,,,,,
y106,6,A,0.5,0.5,t5,0.2436,0.1546,0.1585,M,,,,,,,,
y106,7,A,0.5,0.5,t5,0.2615,0.1589,0.1681,M,,,,,,,,
y106,8,A,0.5,0.5,t5,0.2484,0.1537,0.1648,M,,,,,,,,
y106,9,A,0.5,0.5,t5,0.2448,0.1523,0.1627,M,,,,,,,,
y106,10,A,0.5,0.5,t5,0.2538,0.1582,0.1664,M,,,,,,,,
y106,11,A,0.5,0.5,t5,0.3085,0.2329,0.2346,M,,,,,,,,
y106,12,A,0.5,0.5,t5,0.259,0.1554,0.162,M,,,,,,,,
y106,1,A mixed,0.5,0.5,t5,,,0.0998,M,,,,,,,,
y106,2,A mixed,0.5,0.5,t5,,,0.1071,M,,,,,,,,
y106,3,A mixed,0.5,0.5,t5,,,0.0947,M,,,,,,,,
y106,4,A mixed,0.5,0.5,t5,,,0.0945,M,,,,,,,,
y106,5,A mixed,0.5,0.5,t5,,,0.0956,M,,,,,,,,
y106,6,A mixed,0.5,0.5,t5,,,0.0987,M,,,,,,,,
y106,7,A mixed,0.5,0.5,t5,,,0.0985,M,,,,,,,,
y106,8,A mixed,0.5,0.5,t5,,,0.1039,M,,,,,,,,
y106,9,A mixed,0.5,0.5,t5,,,0.0955,M,,,,,,,,
y106,10,A mixed,0.5,0.5,t5,,,0.1095,M,,,,,,,,
y106,11,A mixed,0.5,0.5,t5,,,0.2087,M,,,,,,,,
y106,12,A mixed,0.5,0.5,t5,,,0.0961,M,,,,,,,,
y106,1,B,0.5,0.5,t5,0.2556,0.1724,0.1666,M,,,,,,,,
y106,2,B,0.5,0.5,t5,0.2638,0.1765,0.1783,M,,,,,,,,
y106,3,B,0.5,0.5,t5,0.2786,0.1897,0.1866,M,,,,,,,,
